Data Analyst,Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11315414/data-analyst,NaN,careers
Assistant Professor - Data Journalism,Syracuse University,"Syracuse, New York",2 Weeks Ago,https://careers.journalists.org/jobs/11620737/assistant-professor-data-journalism,NaN,careers
Assistant Professor - Data Journalism,SYRACUSE UNIVERSITY,"Syracuse, New York",1 Week Ago,https://careers.journalists.org/jobs/11639944/assistant-professor-data-journalism,NaN,careers
Sr. Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",6 Months Ago,https://careers.journalists.org/jobs/10983607/sr-data-scientist,NaN,careers
Digital Communications Data Analyst,National Association of Manufacturers (NAM),"Washington, D.C.",3 Months Ago,https://careers.journalists.org/jobs/11256389/digital-communications-data-analyst,NaN,careers
Ops Research Engineer/ Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, New York",3 Months Ago,https://careers.journalists.org/jobs/11286625/ops-research-engineer-data-scientist,NaN,careers
Assistant Professor in Computer and Information Science (CIS) - Data Science F19,University of Michigan - Dearborn,"Dearborn, Michigan",2 Weeks Ago,https://careers.journalists.org/jobs/11625639/assistant-professor-in-computer-and-information-science-cis-data-science-f19,NaN,careers
Assistant Professor in Computer and Information Science (CIS) - Data Management F19,University of Michigan - Dearborn,"Dearborn, Michigan",2 Weeks Ago,https://careers.journalists.org/jobs/11625641/assistant-professor-in-computer-and-information-science-cis-data-management-f19,NaN,careers
Senior Investigative Reporter,The Markup,"New York, New York",2 Days Ago,https://careers.journalists.org/jobs/11677622/senior-investigative-reporter,NaN,careers
Deputy online news editor,Arkansas Democrat-Gazette,"Little Rock, Arkansas",6 Days Ago,https://careers.journalists.org/jobs/11661471/deputy-online-news-editor,NaN,careers
Ogden Newspapers Professor of Journalism,West Virginia University Reed College of Media,"Morgantown, West Virginia",1 Week Ago,https://careers.journalists.org/jobs/11648633/ogden-newspapers-professor-of-journalism,NaN,careers
"Associate Producer, MPR News Talk Shows",American Public Media,"St. Paul, Minnesota",3 Weeks Ago,https://careers.journalists.org/jobs/11589359/associate-producer-mpr-news-talk-shows,NaN,careers
Europe and Central Asia Research Associate,Committee to Protect Journalists,"New York, New York",5 Days Ago,https://careers.journalists.org/jobs/11664368/europe-and-central-asia-research-associate,NaN,careers
"Weekend Anchor/ General Assignment Reporter, KABC-TV",ABC7 Los angeles,"Glendale, California",1 Week Ago,https://careers.journalists.org/jobs/11645333/weekend-anchor-general-assignment-reporter-kabc-tv,NaN,careers
Assistant or Associate Professor of Journalism /  Digital Media - 999062,Drake University,"Des Moines, Iowa",1 Month Ago,https://careers.journalists.org/jobs/11471138/assistant-or-associate-professor-of-journalism-digital-media-999062,NaN,careers
"Orange County Reporter, KABC-TV",ABC7 Los Angeles,"Orange, California",3 Weeks Ago,https://careers.journalists.org/jobs/11606120/orange-county-reporter-kabc-tv,NaN,careers
"Senior Editor and Digital Content Strategist, HBS Working Knowledge",Harvard University Business School,USA - MA - Boston,1 Month Ago,https://careers.journalists.org/jobs/11464243/senior-editor-and-digital-content-strategist-hbs-working-knowledge,NaN,careers
WAMU Spring 2019 Internship Program,American University,"Washington, D.C.",1 Week Ago,https://careers.journalists.org/jobs/11649144/wamu-spring-2019-internship-program,NaN,careers
Professional in Residence (Content Adviser),Louisiana State University,"Baton Rouge, Louisiana",2 Weeks Ago,https://careers.journalists.org/jobs/11613288/professional-in-residence-content-adviser,NaN,careers
Science & Environment Producer,KCTS 9,"Seattle, Washington",1 Week Ago,https://careers.journalists.org/jobs/11648777/science-environment-producer,NaN,careers
"Associate Producer, MPR News #152-19",Minnesota Public Radio,"St. Paul, Minnesota",3 Weeks Ago,https://careers.journalists.org/jobs/11602122/associate-producer-mpr-news-152-19,NaN,careers
Strategic Partnerships Coordinator,Online News Association,"Washington, D.C.",7 Months Ago,https://careers.journalists.org/jobs/10906444/strategic-partnerships-coordinator,NaN,careers
"Director of Media Relations, Berkeley Law - (7462U) - #24843",University of California Berkeley,"Berkeley, Nationwide, United States",5 Days Ago,https://careers.journalists.org/jobs/11661661/director-of-media-relations-berkeley-law-7462u-24843,NaN,careers
Podcast Producer,University of Chicago,"Chicago, Illinois",2 Months Ago,https://careers.journalists.org/jobs/11379207/podcast-producer,NaN,careers
Digital Content Creator,Harvard University Graduate School of Education,USA - MA - Cambridge,2 Weeks Ago,https://careers.journalists.org/jobs/11622536/digital-content-creator,NaN,careers
Data Journalist Intern,Associated Press,"Washington, DC",16 days ago,https://www.indeed.com/viewjob?jk=38f86dae75d6cf6b,NaN,indeed
Data Entry Intern,Scholars Strategy Network,"Cambridge, MA 02139 (Area IV area)",19 days ago,https://www.indeed.com/viewjob?jk=5fb39ecce471ba99,NaN,indeed
Product Management Intern Summer 2019,BuzzFeed,"New York, NY",8 days ago,https://www.indeed.com/viewjob?jk=7cd0172651a7eadd,NaN,indeed
Editorial Intern- Everyday Health,Everyday Health,"New York, NY 10014 (West Village area)",30+ days ago,https://www.indeed.com/viewjob?jk=2479a3ee044380a2,NaN,indeed
Sports Intern,Associated Press,New York State,16 days ago,https://www.indeed.com/viewjob?jk=0282c4d29afb64d3,NaN,indeed
Fellowship -- Editor/Graphics,The New York Times,"New York, NY",6 days ago,https://www.indeed.com/viewjob?jk=fdc30749944ab4c8,NaN,indeed
WAMU Spring 2019 Internship Program,American University,"Washington, DC 20016 (AU-Tenleytown area)",17 days ago,https://www.indeed.com/viewjob?jk=f99c8ed9745414e6,NaN,indeed
Communications & Public Relations Spring Internship,Blue Cross Blue Shield of Rhode Island,"Providence, RI 02903 (Downtown area)",15 days ago,https://www.indeed.com/viewjob?jk=58bbc332cbf4983a,NaN,indeed
Asst. Leveraged Loan Analyst,S&P Global,"New York, NY",8 days ago,https://www.indeed.com/viewjob?jk=64bd730d3cebbf29,NaN,indeed
Spring Media Research Intern,Save the Children,"Washington, DC",30+ days ago,https://www.indeed.com/viewjob?jk=562f3ae8b5f4df61,NaN,indeed
Asst. Leveraged Loan Analyst,S&P GLOBAL MARKET INTELLIGENCE,"New York, NY 10041 (Financial District area)",8 days ago,https://www.indeed.com/viewjob?jk=36d763ff1eaf650b,NaN,indeed
Spring Intern: Open Source Policy Center,American Enterprise Institute,"Washington, DC 20036 (Downtown area)",30+ days ago,https://www.indeed.com/viewjob?jk=5fe3d2af38b6c9d1,NaN,indeed
"Director, Career Development",The University of Chicago,"Chicago, IL",11 days ago,https://www.indeed.com/viewjob?jk=f66feacb3c44b108,NaN,indeed
"Jr. Content Marketer and Promoter (Harrisburg, PA)",WebpageFX,"Harrisburg, PA",1 day ago,https://www.indeed.com/viewjob?jk=c06c820ef0c855a1,NaN,indeed
"Jr. Online PR Specialist (Digital Public Relations / Blogger) (Harrisburg, PA)",WebpageFX,"Harrisburg, PA",1 day ago,https://www.indeed.com/viewjob?jk=f2d7b6d77fe5b491,NaN,indeed
WWD: Editorial Internship Spring,Penske Media Corp.,"New York, NY 10017 (Midtown area)",4 days ago,https://www.indeed.com/viewjob?jk=16934af246f581f3,NaN,indeed
Digital Content Journalist Internship (Unpaid),Healthjump,"Philadelphia, PA",5 days ago,https://www.indeed.com/viewjob?jk=a2486efe9e8d92a8,NaN,indeed
"USA TODAY Spring 2019 Interactive Graphics Internship – Mclean, VA",Gannett,"Tysons, VA 22102",8 days ago,https://www.indeed.com/viewjob?jk=0874bae2d4a60ec6,NaN,indeed
"Research Internship (Spring/Summer 2019, Ph.D. candidates)",Dataminr,"New York, NY",10 days ago,https://www.indeed.com/viewjob?jk=a60838ded20cb815,NaN,indeed
General Marketing Internship,"MPOWERD, Inc.","New York, NY",16 days ago,https://www.indeed.com/viewjob?jk=f4cb951275d497d0,NaN,indeed
Legal internship - 2019,Cloudflare,"San Francisco, CA",9 days ago,https://www.indeed.com/viewjob?jk=50f5b4acd1170b35,NaN,indeed
Marketing & Business Development Internship,Studyportals,"Boston, MA",30+ days ago,https://www.indeed.com/viewjob?jk=a2a22fd0516843f6,NaN,indeed
Systems Engineer - Internship,Cloudflare,"Austin, TX",30+ days ago,https://www.indeed.com/viewjob?jk=c8d458f38e8b1c8c,NaN,indeed
Sales Operations Intern,Cloudflare,"San Francisco, CA",10 days ago,https://www.indeed.com/viewjob?jk=d91ea9b39b04825c,NaN,indeed
Business Development Intern,IDEASMYTH,"New York, NY 10019 (Midtown area)",13 days ago,https://www.indeed.com/viewjob?jk=313957dc22ae9389,NaN,indeed
"Intern (HR, Finance & Investment, Marketing, and Technology)",Jetzy,"New York, NY",30+ days ago,https://www.indeed.com/viewjob?jk=8afcfebeccb2926c,NaN,indeed
Research Scientist (Machine Learning/Deep Learning),Dataminr,"New York, NY",10 days ago,https://www.indeed.com/viewjob?jk=69ae4e9bc45d688c,NaN,indeed
"Analyst, Domain Expert",Dataminr,"Seattle, WA",30+ days ago,https://www.indeed.com/viewjob?jk=11a8236ba59baa92,NaN,indeed
Journalist – Financial Publishing,Initiative Recruitment Hong Kong Limited,Not Specified,09-Nov-18,https://hk.jobsdb.com/hk/en/job/journalist-financial-publishing-100003006619352,NaN,jobsdb
"Sales & Marketing Assistant, Luxury Goods Company",Cochine Limited,Central & Western Area,07-Nov-18,https://hk.jobsdb.com/hk/en/job/sales-marketing-assistant-luxury-goods-company-100003006617558,NaN,jobsdb
"Marketing Executive, Exhibitions (Marketing Communications)",Hong Kong Trade Development Council,Wan Chai Area,05-Nov-18,https://hk.jobsdb.com/hk/en/job/marketing-executive-exhibitions-100003006610115,NaN,jobsdb
Healthcare Industry Editor,"Standard & Poor's International, LLC",Yau Tsim Mong Area,02-Nov-18,https://hk.jobsdb.com/hk/en/job/healthcare-industry-editor-100003006606836,NaN,jobsdb
Account Director / Associate Account Director (Corporate Practice),Bentley Communications Limited,Sham Shui Po Area,02-Nov-18,https://hk.jobsdb.com/hk/en/job/account-director-associate-account-director-100003006604122,NaN,jobsdb
Sr. Public Relations Executive,Global Sources,Southern Area,30-Oct-18,https://hk.jobsdb.com/hk/en/job/sr-public-relations-executive-100003006598190,NaN,jobsdb
Android Developer,Dow Jones & Co,Wan Chai Area,26-Oct-18,https://hk.jobsdb.com/hk/en/job/android-developer-100003006587113,NaN,jobsdb
"Manager, External Relations (Ref. M(ER))",Urban Renewal Authority,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/manager-external-relations-100003006577393,NaN,jobsdb
"Lead Manager, Media Relations (Corporate Development Division) (Ref: CDD213/JDB/221018)",Hong Kong Productivity Council,Not Specified,22-Oct-18,https://hk.jobsdb.com/hk/en/job/lead-manager-media-relations-100003006575784,NaN,jobsdb
Content Expert,Telum Media HK Limited,Eastern Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/content-expert-100003006571840,NaN,jobsdb
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,19-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567298,NaN,jobsdb
Media Relations Executive,Hong Kong Trade Development Council,Wan Chai Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/media-relations-executive-100003006566789,NaN,jobsdb
Women’s Wear Brand - Marketing Coordinator,Emma Wallace,Central & Western Area,18-Oct-18,https://hk.jobsdb.com/hk/en/job/womens-wear-brand-marketing-coordinator-100003006567297,NaN,jobsdb
